rank,institution,state,oos_penalty_30yr_npv_usd,npv_resident_usd,npv_nonresident_usd,tuition_in_state_usd,tuition_out_of_state_usd
337,CUNY Medgar Evers College,NY,270580,865097,594517,7352,15302
338,CUNY New York City College of Technology,NY,270580,1161629,891049,7332,15282
339,CUNY Queens College,NY,270580,337937,67357,7538,15488
340,CUNY York College,NY,270580,661991,391411,7358,15308
341,University of Wisconsin-Oshkosh,WI,269321,1743666,1474345,8212,16125
342,University of Wisconsin-Superior,WI,269321,1228111,958790,8487,16400
343,Palm Beach State College,FL,267517,1496054,1228537,3050,10910
344,Colorado State University Pueblo,CO,266871,976490,709619,9401,17242
345,College of Central Florida,FL,265713,796265,530552,2710,10517
346,Rogers State University,OK,264930,1297998,1033068,7392,15176
347,Pennsylvania College of Technology,PA,263433,2735316,2471883,17940,25680
348,Louisiana State University-Alexandria,LA,261221,645408,384187,7050,14725
349,Kean University,NJ,260370,465149,204779,13426,21076
350,University of Nebraska at Kearney,NE,260369,1293606,1033237,8270,15920
351,University of Arkansas for Medical Sciences,AR,259961,2868332,2608371,8868,16506
352,Lincoln University,MO,258395,708111,449716,9290,16882
353,Athens State University,AL,256285,1238902,982617,9840,17370
354,Langston University,OK,256183,1839084,1582901,6728,14255
355,Saint Johns River State College,FL,256013,775802,519789,2830,10352
356,SUNY College of Technology at Alfred,NY,255434,1508958,1253524,8862,16367
357,Colorado Mountain College,CO,253222,952392,699170,5100,12540
358,Indian River State College,FL,253120,935631,682511,2764,10201
359,Southern University and A & M College,LA,250159,1234617,984458,9842,17192
360,Bluefield State University,WV,249138,533416,284278,10240,17560
361,University of Central Arkansas,AR,243012,984278,741266,10118,17258
362,SUNY Brockport,NY,240630,601185,360555,8678,15748
363,University of Illinois Springfield,IL,237838,1294688,1056850,12472,19460
364,Salem State University,MA,237668,868239,630571,11978,18961
365,Florida State College at Jacksonville,FL,237362,1930893,1693531,2657,9631
366,Abraham Baldwin Agricultural College,GA,235047,1314022,1078975,3195,10101
367,College of Coastal Georgia,GA,235047,755313,520266,3483,10389
368,Dalton State College,GA,235047,1050490,815443,3283,10189
369,Gordon State College,GA,235047,1205036,969989,3475,10381
370,Purdue University Northwest,IN,234333,2302434,2068101,8048,14933
371,Lincoln University,PA,233890,245858,11968,12512,19384
372,University of Arkansas-Fort Smith,AR,233618,1316463,1082845,6906,13770
373,University of the District of Columbia,DC,233210,1337895,1104685,6152,13004
374,Miami Dade College,FL,232223,1268404,1036181,2838,9661
375,Coppin State University,MD,231032,1249820,1018788,7001,13789
376,Northern Arizona University,AZ,230657,1143591,912934,12238,19015
377,Louisiana Tech University,LA,229431,1639650,1410219,10125,16866
378,Winona State University,MN,229125,1914536,1685411,10498,17230
379,Santa Fe College,FL,225517,1425913,1200396,2563,9189
380,St Petersburg College,FL,224768,1817225,1592457,2682,9286
381,Shawnee State University,OH,222420,395598,173178,9622,16157
